,gvkey_x,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic_x,cusip,curcdq,datacqtr,datafqtr,acoq,actq,apq,chq,citotalq,cogsq,dlttq,intanq,niq,cik,costat,gvkey_y,splticrm,tic_y,Rate
26,1690,20160930,2016,4,INDL,C,D,STD,AAPL,37833100,USD,2016Q3,2016Q4,8283,106869,37294,20484,9755,26491,75427.0,8620.0,9014,320193,A,1690,AA+,AAPL,1
27,1690,20161231,2017,1,INDL,C,D,STD,AAPL,37833100,USD,2016Q4,2017Q1,12191,103332,38510,16371,15000,45188,73557.0,8271.0,15000,320193,A,1690,AA+,AAPL,1
5,1690,20110630,2011,3,INDL,C,D,STD,AAPL,37833100,USD,2011Q2,2011Q3,6143,46898,15270,12091,7571,16168,35700.91176470588,1910.0,7308,320193,A,1690,BBB+,AAPL,7
27,1690,20161231,2017,1,INDL,C,D,STD,AAPL,37833100,USD,2016Q4,2017Q1,12191,103332,38510,16371,15000,45188,73557.0,8271.0,15000,320193,A,1690,AA+,AAPL,1
19,1690,20141231,2015,1,INDL,C,D,STD,AAPL,37833100,USD,2014Q4,2015Q1,18681,83403,38001,19478,15000,42283,32504.0,8999.0,15000,320193,A,1690,AA+,AAPL,1
20,1690,20150331,2015,2,INDL,C,D,STD,AAPL,37833100,USD,2015Q1,2015Q2,14235,67891,23159,14489,14316,31875,40072.0,8772.0,13569,320193,A,1690,AA+,AAPL,1
15,1690,20131231,2014,1,INDL,C,D,STD,AAPL,37833100,USD,2013Q4,2014Q1,12316,80347,29588,14077,13237,33604,16961.0,6127.0,13072,320193,A,1690,AA+,AAPL,1
3,1690,20101231,2011,1,INDL,C,D,STD,AAPL,37833100,USD,2010Q4,2011Q1,5191,43927,14301,10734,6164,16087,35700.91176470588,1263.0,6004,320193,A,1690,BBB+,AAPL,7
0,1690,20100331,2010,2,INDL,C,D,STD,AAPL,37833100,USD,2010Q1,2010Q2,3914,32336,5666,10018,3088,7658,35700.91176470588,823.0,3074,320193,A,1690,A,AAPL,5
24,1690,20160331,2016,2,INDL,C,D,STD,AAPL,37833100,USD,2016Q1,2016Q2,10204,87592,25098,21514,10948,28159,69374.0,9092.0,10516,320193,A,1690,AA+,AAPL,1
18,1690,20140930,2014,4,INDL,C,D,STD,AAPL,37833100,USD,2014Q3,2014Q4,14124,68531,30196,13844,9463,24145,28987.0,8758.0,8467,320193,A,1690,AA+,AAPL,1
8,1690,20120331,2012,2,INDL,C,D,STD,AAPL,37833100,USD,2012Q1,2012Q2,7303,50712,17011,10121,11762,19882,35700.91176470588,4745.0,11622,320193,A,1690,AA-,AAPL,3
21,1690,20150630,2015,3,INDL,C,D,STD,AAPL,37833100,USD,2015Q2,2015Q3,14301,70953,26474,15319,9065,26840,47419.0,8823.0,10677,320193,A,1690,AA+,AAPL,1
22,1690,20150930,2015,4,INDL,C,D,STD,AAPL,37833100,USD,2015Q3,2015Q4,15085,89378,35490,21120,9681,27834,53463.0,9009.0,11124,320193,A,1690,AA+,AAPL,1
14,1690,20130930,2013,4,INDL,C,D,STD,AAPL,37833100,USD,2013Q3,2013Q4,10335,73286,22367,14259,7275,21818,16960.0,5756.0,7512,320193,A,1690,AA+,AAPL,1
27,1690,20161231,2017,1,INDL,C,D,STD,AAPL,37833100,USD,2016Q4,2017Q1,12191,103332,38510,16371,15000,45188,73557.0,8271.0,15000,320193,A,1690,AA+,AAPL,1
27,1690,20161231,2017,1,INDL,C,D,STD,AAPL,37833100,USD,2016Q4,2017Q1,12191,103332,38510,16371,15000,45188,73557.0,8271.0,15000,320193,A,1690,AA+,AAPL,1
9,1690,20120630,2012,3,INDL,C,D,STD,AAPL,37833100,USD,2012Q2,2012Q3,8869,51943,16808,7945,8832,19194,35700.91176470588,5461.0,8824,320193,A,1690,AA-,AAPL,3
18,1690,20140930,2014,4,INDL,C,D,STD,AAPL,37833100,USD,2014Q3,2014Q4,14124,68531,30196,13844,9463,24145,28987.0,8758.0,8467,320193,A,1690,AA+,AAPL,1
8,1690,20120331,2012,2,INDL,C,D,STD,AAPL,37833100,USD,2012Q1,2012Q2,7303,50712,17011,10121,11762,19882,35700.91176470588,4745.0,11622,320193,A,1690,AA-,AAPL,3
5,1690,20110630,2011,3,INDL,C,D,STD,AAPL,37833100,USD,2011Q2,2011Q3,6143,46898,15270,12091,7571,16168,35700.91176470588,1910.0,7308,320193,A,1690,BBB+,AAPL,7
13,1690,20130630,2013,3,INDL,C,D,STD,AAPL,37833100,USD,2013Q2,2013Q3,10463,68219,15516,11248,5702,20605,16958.0,5875.0,6900,320193,A,1690,AA+,AAPL,1
22,1690,20150930,2015,4,INDL,C,D,STD,AAPL,37833100,USD,2015Q3,2015Q4,15085,89378,35490,21120,9681,27834,53463.0,9009.0,11124,320193,A,1690,AA+,AAPL,1
7,1690,20111231,2012,1,INDL,C,D,STD,AAPL,37833100,USD,2011Q4,2012Q1,6895,54771,18221,10310,13005,24909,35700.91176470588,4368.0,13064,320193,A,1690,BBB+,AAPL,7
5,1690,20110630,2011,3,INDL,C,D,STD,AAPL,37833100,USD,2011Q2,2011Q3,6143,46898,15270,12091,7571,16168,35700.91176470588,1910.0,7308,320193,A,1690,BBB+,AAPL,7
1,1690,20100630,2010,3,INDL,C,D,STD,AAPL,37833100,USD,2010Q2,2010Q3,4404,36033,8469,9705,3236,9291,35700.91176470588,1032.0,3253,320193,A,1690,BB ,AAPL,11
